smiles,similarity,score-svm,pKi,pIC50,pKd,pEC50,is_active
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCC)cc(OCCCC)c2)CC(O)CC1O,0.9761904761904762,0.9490153442077269,7.150974478728855,6.290722147940086,6.967656519986565,6.61400183058824,0.69611263
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCC)cc(OCCCC)c2)CC(O)CC1O,0.9647058823529412,0.9446411389401952,7.242916516441915,6.2372617155247525,6.924179450314052,6.544738169063449,0.6851541
C=C1C(=CC=C2CCCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCCCC)c2)CC(O)CC1O,0.9642857142857144,0.9381185967816698,7.149701156474119,6.285097519873707,6.964210697493632,6.611574792070256,0.69485176
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCCC)CC(O)C(C)C1O,0.9577464788732394,0.9535688528682977,8.103875617001199,7.88888681116087,8.4354461512797,8.175080701658704,0.81890106
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCCCO)c2)CC(O)CC1O,0.9534883720930232,0.9512975975686099,7.246483680885178,6.207091383022112,6.96082551964404,6.558703832868575,0.6758333
C=C(COCC(C)C1CCCC2C(=CC=C3CC(O)CC(O)C3=C)CCCC21C)C1=CCCCC1(C)C,0.9285714285714286,0.9299643689129637,7.810549229624465,7.435062903722989,8.275892532972957,7.924185087031916,0.77345514
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCc3ccccc3)c2)CC(O)CC1O,0.9111111111111112,0.9288861529671594,7.002875653691119,5.9803795454052695,6.495145689877299,5.99092512068842,0.5450831
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCCCC)c2)CC(C)CC1O,0.9080459770114944,0.9495607052544777,7.088489958193984,6.183712048827789,6.901432220800053,6.559025773425544,0.6548521
CC1(CCC#CC(O)(C(F)(F)F)C(F)(F)F)CCCC(C=CC=C2CC(O)CC(O)C2)C1(C)C,0.9056603773584906,0.5694751990532075,7.872036018596891,7.332720201744326,7.835092370351969,7.505930552191389,0.8414691
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OC)cc(OCCC)c2)CC(O)CC1O,0.8977272727272727,0.9339056851487458,7.246730459400811,6.288988972263412,6.848210821507421,6.5552103446241725,0.6890153
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCCCC)c2)CC(O)CC1C,0.896551724137931,0.9402277966681682,7.14951256723192,6.285325755692437,6.964353650158267,6.611642786655728,0.69492036
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCO)CC(O)C(C)C1O,0.8904109589041096,0.9581000755812462,8.096107947380167,7.893840141838722,8.462978351894076,8.145064110097,0.8120861
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cc(OCCC)cc(OCCF)c2)CC(O)CC1O,0.8876404494382022,0.9347320006504499,7.091001583087375,6.386621556232118,6.8709814014965325,6.6639188181579705,0.7127767
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2Cc2cccc(OCCCC)c2)CC(O)CC1O,0.8876404494382022,0.9497440782010694,7.639283726125842,6.906895379381161,7.5934978321985795,7.14931809889478,0.7954642
C=C1C(=CC=C2CCCC3(C)C2CCC3C(O)CC2CC(C)(O)C(=O)N2Cc2cc(OCCCC)cc(OCCCC)c2)CC(O)CC1O,0.8850574712643678,0.9201862632469585,7.185950939996266,6.325003190944263,7.003695407970281,6.63485605577015,0.7018537
